year,month,total_tickets,total_revenue,unique_movies
1975,6,12309154,134169797.55,1
1975,7,10414133,113514067.88,1
1975,8,1129921,12316134.540000001,1
1977,5,17611831,163790021.36,1
1977,6,28051072,260874968.74,1
1977,7,3906775,36333016.9,1
1982,6,37222236,316389010.96,1
1982,7,13370401,113648434.42,1
1982,8,596837,5073108.61,1
1989,6,9128893,99504948.46,1
1989,7,12512079,136381678.34,1
1989,8,1403881,15302297.16,1
1990,11,20694972,175907263.43,1
1990,12,11993236,101942478.72,1
1991,1,930764,7911500.89,1
1993,6,30939551,287737813.09,1
1993,7,11113635,103356788.11,1
1993,8,496096,4613703.779999999,1
1994,6,25358143,266260483.61,1
1994,7,45756913,416576776.32,2
1994,8,7896279,69099161.15,2
1996,7,23340317,263745566.94,1
1996,8,3754307,42423688.06,1
1997,7,19298782,218076224.55,1
1997,8,2886221,32614314.46,1
1997,12,40125074,373163196.55,1
1998,1,28184465,262115508.27,1
1998,2,2589813,24085239.15,1
1999,5,24618940,268346452.04,1
1999,6,17032690,185656336.38,1
1999,7,1884579,20541888.580000002,1
1999,11,15669151,133187790.34,1
1999,12,12029179,102248013.39,1
2000,1,1225457,10416375.28,1
2000,11,13548554,153098659.03,1
2000,12,8750228,98877585.42999999,1
2001,1,714035,8068580.52,1
2001,5,18538715,157579076.12,1
2001,6,11799884,100299035.49,1
2001,7,1150224,9776899.41,1
2001,11,40503992,442800574.07,2
2001,12,31510419,333840960.94,3
2002,1,12710110,133456117.35000001,2
2002,2,1185340,12446072.64,1
2002,5,37092775,344962809.26,1
2002,6,6316511,58743565.76,1
2002,11,15563467,169641805.45,1
2002,12,27871967,287830312.75,2
2003,1,13354392,135351615.45,2
2003,2,1184259,11961012.35,1
2003,5,25233007,238728394.57999998,2
2003,6,37772169,374000013.72,2
2003,7,4945584,49354650.65,2
2003,12,23786475,230728813.9,1
2004,1,14012434,135920623.14000002,1
2004,2,12409784,115872726.49000001,2
2004,3,25238105,234714362.65,1
2004,4,3375518,31392308.79,1
2004,5,28034325,249505481.05,1
2004,6,37792411,380504722.75,2
2004,7,5832529,60757112.23,2
2004,11,23125281,215065117.48,1
2004,12,18138688,173950585.42,2
2005,1,14140084,137158786.56,1
2005,2,1488059,14434177.56,1
2005,11,18441707,164131194.23,1
2005,12,12953735,115288248.67,1
2006,1,1190292,10593593.1,1
2006,12,10850318,122608607.83,1
2007,1,10204031,115305550.08,1
2007,2,1145940,12949110.11,1
2007,5,23176201,196997711.29999998,1
2007,6,13537508,115068808.57000001,1
2007,7,51994610,502518528.28000003,3
2007,8,12552113,116421360.63,2
2007,9,364353,3096988.1799999997,1
2007,12,18353388,178027856.24,1
2008,1,7582405,73549349.8,1
2008,2,496474,4815803.92,1
2008,7,35389666,314968021.17,1
2008,8,22856141,203419661.64,1
2008,9,1865101,16599393.17,1
2009,5,18909737,206116132.24,1
2009,6,27232869,278768640.14,2
2009,7,27211207,248203318.7,3
2009,8,10957220,97519235.73,1
2009,9,734211,6534473.2,1
2009,11,26125426,285153707.19,2
2009,12,74046167,703544676.43,3
2010,1,35945047,324742789.81,3
2010,2,2737482,24363584.58,1
2010,5,22437645,253545394.9,1
2010,6,27294885,308432186.73,3
2010,7,75016023,801507400.05,5
2010,8,19507719,200444687.06,4
2010,9,830723,8130473.24,2
2010,11,17250120,160426111.97,1
2010,12,13242884,123158821.07000001,1
2011,1,1349101,12546634.94,1
2011,5,7211520,81490177.58,1
2011,6,13399516,151414529.14,1
2011,7,30879637,279407769.41,2
2011,8,12934942,115120999.03,1
2011,9,924042,8223986.859999999,1
2012,5,56497978,525431206.86,1
2012,6,10529754,97926703.16,1
2012,7,26104792,242774567.25,1
2012,8,20040598,186377573.64,1
2012,9,2041609,18986958.13,1
2012,11,21214625,231239403.14,1
2012,12,6545001,71340500.37,1
2013,1,163337,1780373.47,1
2013,5,30929035,349498113.3,1
2013,6,5266893,59515880.66,1
2013,7,31061815,313724337.09000003,1
2013,8,5380301,54341047.9,1
2013,11,30289989,276870850.96,2
2013,12,52326171,488476118.48,2
2014,1,6434711,60274086.56,2
2014,2,19391423,195853364.7,1
2014,3,5982512,60423426.33,1
2014,4,25606443,217893652.53,2
2014,5,5101324,43361232.43,1
2014,8,26921492,293444276.78,1
2014,9,3644757,39727835.19,1
2014,12,11008667,124397947.67999999,1
2015,1,17837253,201560979.9,1
2015,2,2138712,24167444.41,1
2015,4,30675383,297551216.68,1
2015,5,41493507,459729270.77,2
2015,6,78542438,711764323.21,3
2015,7,61968473,581802201.36,3
2015,8,10804862,103978262.24,3
2015,9,202652,1965719.6400000001,1
2015,12,56850518,551450045.7,1
2016,1,36716472,356149749.12,1
2016,2,26124574,281162516.65,2
2016,3,43397092,391807654.77,2
2016,4,6932903,60431215.75,2
2016,5,39493639,335695922.09,1
2016,6,36862961,358689830.11,2
2016,7,45335961,479515984.08,2
2016,8,8200181,88186849.63,2
2016,9,61987,675654.03,1
2016,12,54588401,479474276.01,2
2017,1,34036426,297167908.38,2
2017,2,2973796,25864184.59,2
2017,3,30718629,310258142.65,1
2017,4,17635412,178117645.91,1
2017,5,1548354,15638376.43,1
2017,6,33045620,368979869.89,2
2017,7,29882243,278702229.65,2
2017,8,3315236,29505608.5,1
2017,9,26345251,255548943.37,1
2017,10,7288085,70694394.31,1
2017,11,127671,1238410.2999999998,1
2017,12,65177192,638258383.94,2
2018,1,35574740,355541706.17,2
2018,2,49680722,427292557.04,3
2018,3,32757536,278439042.69,1
2018,4,18826101,191654028.75,2
2018,5,60160456,638565827.89,2
2018,6,71936371,759711706.33,4
2018,7,39957911,419985005.88,3
2018,8,3650150,38326602.28,2
2019,4,24116198,243573598.07,1
2019,5,68939796,684175842.0,2
2019,6,52597077,474848475.21,3
2019,7,60563550,530636843.11,3
2019,8,26917957,238515503.92,2
2019,9,2231236,19858004.68,1
2019,10,29149839,282753430.03,1
2019,11,25611127,264570629.11,2
2019,12,22733920,238706156.81,1
2020,1,2551873,26794673.09,1
2021,12,45976907,501148275.3,1
2022,1,26644718,290427446.7,1
2022,2,2067829,22539347.98,1
2022,5,20192973,203949028.29,1
2022,6,44501676,449466910.43,1
2022,7,6467020,65316882.3,1
2022,12,39162527,442536521.22,1
2023,1,19889659,224753139.3,1
2023,2,1485496,16786106.47,1
2023,4,45020238,472712507.01,1
2023,5,39345940,401288154.71,2
2023,6,5933613,59929483.32,1
2023,7,48424762,498544501.33,2
2023,8,40969666,421792500.33,2
2023,9,4445159,45763959.34,2
2024,3,25670017,248999170.57999998,1
