movie_id,title,genre,release_date,rating,studio,runtime_minutes,budget,domestic_gross,international_gross,total_gross,imdb_rating,tickets_sold,tickets_available,release_year,release_month,profit,roi,budget_category,performance
1,Evan Almighty,Comedy,2007-06-22,PG,Universal Pictures,96,175000000,100289690,73841639,174131329,5.4,10556809,0,2007,6,-868671,-0.5,Blockbuster,Loss
2,Waterworld,Action,1995-07-28,PG-13,Universal Pictures,176,175000000,88246220,176000000,264246220,6.1,9289076,0,1995,7,89246220,51.0,Blockbuster,Major Success
3,King Arthur: Legend of the Sword,Adventure,2017-05-12,PG-13,Warner Bros,97,175000000,39175066,100775642,139950708,,4123691,0,2017,5,-35049292,-20.03,Blockbuster,Major Loss
4,47 Ronin,Action,2013-12-25,PG-13,Universal Pictures,128,175000000,38362475,113354340,151716815,6.3,4038155,0,2013,12,-23283185,-13.3,Blockbuster,Major Loss
5,Jurassic World: Fallen Kingdom,Action,2018-06-22,PG-13,Universal Pictures,109,170000000,416769345,888096977,1304866322,6.2,43870457,0,2018,6,1134866322,667.57,Blockbuster,Major Success
6,Guardians of the Galaxy,Action,2014-08-01,PG-13,Walt Disney,121,170000000,333172112,437879223,771051335,8.1,35070749,0,2014,8,601051335,353.56,Blockbuster,Major Success
7,Iron Man 2,Action,2010-05-07,PG-13,Paramount,124,170000000,312433331,308723058,621156389,7.0,32887719,0,2010,5,451156389,265.39,Blockbuster,Major Success
8,Captain America: The Winter Soldier,Action,2014-04-04,PG-13,Walt Disney,136,170000000,259746958,454654931,714401889,7.8,27341785,0,2014,4,544401889,320.24,Blockbuster,Major Success
9,Dawn of the Planet of the Apes,Adventure,2014-07-11,PG-13,20th Century Fox,130,170000000,208545589,502098977,710644566,7.6,21952167,0,2014,7,540644566,318.03,Blockbuster,Major Success
10,The Polar Express,Adventure,2004-11-10,G,Warner Bros,100,170000000,186493587,124140582,310634169,6.6,19630904,0,2004,11,140634169,82.73,Blockbuster,Major Success
11,Snow White and the Huntsman,Adventure,2012-06-01,PG-13,Universal Pictures,132,170000000,155136755,245884991,401021746,6.1,16330185,0,2012,6,231021746,135.9,Blockbuster,Major Success
12,Terminator 3: Rise of the Machines,Action,2003-07-01,R,Warner Bros,109,170000000,150358296,282700000,433058296,6.4,15827189,0,2003,7,263058296,154.74,Blockbuster,Major Success
13,Van Helsing,Action,2004-05-07,PG-13,Universal Pictures,109,170000000,120150546,180000000,300150546,,12647426,0,2004,5,130150546,76.56,Blockbuster,Major Success
14,Tomorrowland,Adventure,2015-05-22,PG,Walt Disney,130,170000000,93436322,113847135,207283457,6.5,9835402,0,2015,5,37283457,21.93,Blockbuster,Profit
15,Alice Through the Looking Glass,Adventure,2016-05-27,PG,Walt Disney,113,170000000,77042381,199891706,276934087,6.4,8109724,0,2016,5,106934087,62.9,Blockbuster,Major Success
16,Shrek Forever After,Adventure,2010-05-21,PG,Paramount,93,165000000,238736787,517507886,756244673,6.4,25130188,0,2010,5,591244673,358.33,Blockbuster,Major Success
17,Doctor Strange,Action,2016-11-04,PG-13,Walt Disney,109,165000000,232641920,443844537,676486457,7.5,24488623,0,2016,11,511486457,309.99,Blockbuster,Major Success
18,Big Hero 6,Adventure,2014-11-07,PG,Walt Disney,102,165000000,222527828,429600000,652127828,7.9,23423982,0,2014,11,487127828,295.23,Blockbuster,Major Success
19,How to Train Your Dragon,Adventure,2010-03-26,PG,Paramount,98,165000000,217581232,277289760,494870992,8.2,22903288,0,2010,3,329870992,199.92,Blockbuster,Major Success
20,Wreck-It Ralph,Adventure,2012-11-02,PG,Walt Disney,101,165000000,189412677,307098844,496511521,7.8,19938177,0,2012,11,331511521,200.92,Blockbuster,Major Success
21,Interstellar,Adventure,2014-11-05,PG-13,Paramount,169,165000000,188017894,479734528,667752422,8.6,19791357,0,2014,11,502752422,304.7,Blockbuster,Major Success
22,Independence Day: Resurgence,Action,2016-06-24,PG-13,20th Century Fox,120,165000000,103144286,281269648,384413934,5.5,10857293,0,2016,6,219413934,132.98,Blockbuster,Major Success
23,Cowboys and Aliens,Action,2011-07-29,PG-13,Universal Pictures,109,163000000,100368560,75669764,176038324,,10565112,0,2011,7,13038324,8.0,Blockbuster,Profit
24,Shrek the Third,Adventure,2007-05-17,PG,Paramount,93,160000000,322719944,484610992,807330936,6.1,33970520,0,2007,5,647330936,404.58,Blockbuster,Major Success
