studio,avg_budget,total_budget,avg_gross,total_gross,avg_rating,movie_count
20th Century Fox,50998169.01,14483480000,179567758.78,50997243493,6.35,284
8X Entertainment,22000000.0,22000000,6047691.0,6047691,,1
A24,6906250.0,110500000,23320258.06,373124129,6.86,16
ARC Entertainment,16500000.0,49500000,2248513.0,6745539,6.13,3
Abramorama Films,1000000.0,1000000,549185.0,549185,,1
Access Motion Pictu…,2000000.0,2000000,1075504.0,1075504,7.3,1
After Dark,1000000.0,1000000,0.0,0,,1
Alchemy,14285714.29,100000000,3159578.29,22117048,5.85,7
Alliance Films,10400000.0,10400000,1610194.0,1610194,6.3,1
American Internatio…,10500000.0,21000000,7750000.0,15500000,5.6,2
Analysis,350000.0,350000,10000000.0,10000000,6.1,1
Anchor Bay Entertai…,7089285.71,99250000,1318013.71,18452192,5.94,14
Apparition,17666666.67,53000000,18125871.33,54377614,6.97,3
Artisan,7944736.84,150950000,23977148.74,455565826,6.01,19
Associated Film Dis…,8000000.0,8000000,76657000.0,76657000,7.7,1
Atlantic,3000000.0,3000000,7888000.0,7888000,3.2,1
Atlas Distribution,7500000.0,15000000,2093871.5,4187743,4.4,2
Autonomous Films,1000000.0,1000000,473769.0,473769,7.4,1
Avco Embassy,5000000.0,20000000,25502015.25,102008061,6.9,4
B.D. Fox Independent,3800000.0,3800000,41914.0,41914,7.3,1
BH Tilt,12305333.33,36916000,8070924.67,24212774,,3
Big Fat Movies,3000000.0,3000000,4655.0,4655,3.3,1
Black Diamond Pictures,10100000.0,10100000,1066555.0,1066555,5.8,1
Bleecker Street,13500000.0,54000000,17853191.5,71412766,7.1,4
Borotoro,11000000.0,11000000,3231251.0,3231251,6.3,1
Broad Green Pictures,13350000.0,53400000,14458804.25,57835217,7.0,4
CBS Films,16192307.69,210500000,37624604.92,489119864,6.29,13
Cafe Pictures,12000000.0,12000000,14616.0,14616,7.5,1
Cannon,8957142.86,62700000,15216874.71,106518123,5.42,7
Castle Hill Product…,1000000.0,1000000,0.0,0,5.8,1
Cinedigm/Film Arcade,6000000.0,6000000,437089.0,437089,5.8,1
Cinema Guild,2000000.0,2000000,7369373.0,7369373,5.7,1
Clarius Entertainment,36000000.0,108000000,13407578.0,40222734,5.65,3
Cloud Ten Pictures,18500000.0,18500000,4221341.0,4221341,3.1,1
Codex Pictures,8900000.0,8900000,0.0,0,,1
Cohen Media Group,1400000.0,1400000,5545484.0,5545484,,1
Columbia,10333333.33,31000000,151472230.0,454416690,7.63,3
Compass International,325000.0,325000,70000000.0,70000000,7.9,1
ContentFilm,5000000.0,5000000,894030.0,894030,6.3,1
Destination Films,11750000.0,47000000,9792181.0,39168724,4.53,4
Distrib Films,5000000.0,5000000,0.0,0,6.7,1
DreamWorks,50470454.55,2220700000,161197636.0,7092695984,6.74,44
ESX Entertainment,2000000.0,2000000,0.0,0,4.8,1
Echolight Studios,7000000.0,7000000,1933829.0,1933829,5.8,1
Electric Entertainment,20000000.0,20000000,2507181.0,2507181,,1
