title,genre,studio,total_gross,budget,profit,imdb_rating
Avatar,Action,20th Century Fox,2923706026,237000000,2686706026,7.9
Avengers: Endgame,Action,Walt Disney,2799439100,356000000,2443439100,8.4
Avatar: The Way of Water,Action,Walt Disney,2320251420,350000000,1970251420,7.6
Titanic,Drama,Paramount,2264743305,200000000,2064743305,7.9
Star Wars: The Force Awakens,Adventure,Walt Disney,2071310218,245000000,1826310218,7.8
Avengers: Infinity War,Action,Walt Disney,2048359754,325000000,1723359754,8.4
Spider-Man: No Way Home,Action,Sony Pictures,1921847111,200000000,1721847111,8.2
Inside Out 2,Adventure,Walt Disney,1698863816,200000000,1498863816,7.6
Jurassic World,Action,Universal Pictures,1671713208,150000000,1521713208,6.9
The Lion King (2019),Adventure,Walt Disney,1662899438,260000000,1402899438,6.8
The Avengers,Action,Walt Disney,1518812988,220000000,1298812988,8.0
Furious 7,Action,Universal Pictures,1515047671,190000000,1325047671,7.1
Top Gun: Maverick,Action,Paramount,1495696292,170000000,1325696292,8.2
Frozen II,Adventure,Walt Disney,1450026933,150000000,1300026933,6.8
Barbie,Comedy,Warner Bros,1447038421,145000000,1302038421,6.8
Avengers: Age of Ultron,Action,Walt Disney,1405403694,250000000,1155403694,7.3
Super Mario Bros. Movie,Adventure,Universal Pictures,1361922621,100000000,1261922621,7.0
Black Panther,Action,Walt Disney,1347293205,200000000,1147293205,7.3
Harry Potter and the Deathly Hallows – Part 2,Adventure,Warner Bros,1342359942,125000000,1217359942,8.1
Star Wars: The Last Jedi,Adventure,Walt Disney,1333258636,262000000,1071258636,6.9
Jurassic World: Fallen Kingdom,Action,Universal Pictures,1304866322,170000000,1134866322,6.2
Frozen,Adventure,Walt Disney,1281504918,150000000,1131504918,7.4
Beauty and the Beast (2017),Adventure,Walt Disney,1266115964,160000000,1106115964,7.1
Incredibles 2,Adventure,Walt Disney,1243225667,200000000,1043225667,7.6
The Fate of the Furious,Action,Universal Pictures,1236005118,250000000,986005118,6.6
Iron Man 3,Action,Walt Disney,1214811252,200000000,1014811252,7.1
Minions,Adventure,Universal Pictures,1162781621,74000000,1088781621,6.4
Captain America: Civil War,Action,Walt Disney,1153338049,250000000,903338049,7.8
The Lord of the Rings: The Return of the King,Adventure,New Line,1147633833,94000000,1053633833,9.0
Skyfall,Action,Sony Pictures,1142471295,200000000,942471295,7.8
The Dark Knight Rises,Action,Warner Bros,1081142612,250000000,831142612,8.4
Joker,Drama,Warner Bros,1078958629,55000000,1023958629,8.4
Toy Story 4,Adventure,Walt Disney,1073394593,200000000,873394593,7.7
Toy Story 3,Adventure,Walt Disney,1066969703,200000000,866969703,8.3
Rogue One: A Star Wars Story,Adventure,Walt Disney,1058687902,200000000,858687902,7.8
Aladdin (2019),Adventure,Walt Disney,1054305395,183000000,871305395,6.9
Jurassic Park,Action,Universal Pictures,1038812584,63000000,975812584,8.1
Despicable Me 3,Adventure,Universal Pictures,1034520868,75000000,959520868,6.3
Finding Dory,Adventure,Walt Disney,1028570889,200000000,828570889,7.3
Star Wars Ep. I: The Phantom Menace,Adventure,20th Century Fox,1027044677,115000000,912044677,6.5
Harry Potter and the Philosopher's Stone,Adventure,Warner Bros,1022297282,125000000,897297282,7.6
Zootopia,Adventure,Walt Disney,1019706594,150000000,869706594,8.0
The Dark Knight,Action,Warner Bros,1006234241,185000000,821234241,9.0
The Lion King,Adventure,Walt Disney,986332275,79300000,907032275,8.5
Harry Potter and the Deathly Hallows – Part 1,Adventure,Warner Bros,977043483,250000000,727043483,7.7
Oppenheimer,Drama,Universal Pictures,975811333,100000000,875811333,8.3
Despicable Me 2,Adventure,Universal Pictures,975216835,76000000,899216835,7.5
Jumanji: Welcome to the Jungle,Adventure,Sony Pictures,961758540,90000000,871758540,6.9
Harry Potter and the Order of the Phoenix,Adventure,Warner Bros,942172396,150000000,792172396,7.5
The Lord of the Rings: The Two Towers,Adventure,New Line,938399699,94000000,844399699,8.8
