title,genre,studio,imdb_rating,total_gross,budget
Towering Inferno,Action,20th Century Fox,9.5,139700000,14000000
The Shawshank Redemption,Drama,Sony Pictures,9.3,28307092,25000000
The Godfather,Drama,Paramount,9.2,268500000,7000000
The Dark Knight,Action,Warner Bros,9.0,1006234241,185000000
The Lord of the Rings: The Return of the King,Adventure,New Line,9.0,1147633833,94000000
Schindler’s List,Drama,Universal Pictures,8.9,321365567,25000000
Pulp Fiction,Drama,Miramax,8.9,212928762,8000000
12 Angry Men,Drama,United Artists,8.9,0,340000
Daredevil,Action,20th Century Fox,8.8,182782518,80000000
Fight Club,Drama,20th Century Fox,8.8,100851705,65000000
Forrest Gump,Drama,Paramount,8.8,679850637,55000000
The Lord of the Rings: The Two Towers,Adventure,New Line,8.8,938399699,94000000
The Lord of the Rings: The Fellowship of the Ring,Adventure,New Line,8.8,898204420,93000000
Inception,Action,Warner Bros,8.8,839030630,160000000
The Matrix,Action,Warner Bros,8.7,463517383,65000000
Friday Night Lights,Drama,Universal Pictures,8.7,61950770,30000000
The Honeymooners,Comedy,Paramount,8.7,13174426,27000000
Goodfellas,Drama,Warner Bros,8.7,46777347,25000000
One Flew Over the Cuckoo's Nest,Drama,MGM,8.7,108997629,4400000
Interstellar,Adventure,Paramount,8.6,667752422,165000000
Hannibal,Horror,MGM,8.6,350100280,87000000
Saving Private Ryan,Drama,DreamWorks,8.6,485035085,65000000
Luther,Drama,RS Entertainment,8.6,32736879,35000000
Star Wars Ep. IV: A New Hope,Adventure,20th Century Fox,8.6,786598007,11000000
American History X,Drama,New Line,8.6,6719864,10000000
The Usual Suspects,Drama,Gramercy,8.6,34449356,6000000
It’s a Wonderful Life,Drama,Independent,8.6,10768908,3180000
Modern Times,Comedy,Kino International,8.6,165049,1500000
Casablanca,Drama,Warner Bros,8.6,10462500,1039000
Terminator 2: Judgment Day,Action,Sony Pictures,8.5,515419827,100000000
The Departed,Drama,Warner Bros,8.5,289660619,90000000
The Lion King,Adventure,Walt Disney,8.5,986332275,79300000
The Green Mile,Drama,Warner Bros,8.5,290701374,60000000
Outlander,Adventure,Third Rail,8.5,1250617,50000000
The Pianist,Drama,Focus Features,8.5,111854182,35000000
Apocalypse Now,Action,United Artists,8.5,81250485,31500000
Entourage,Comedy,Warner Bros,8.5,46362449,30000000
Raiders of the Lost Ark,Adventure,Paramount,8.5,367452079,20000000
Back to the Future,Adventure,Universal Pictures,8.5,385524862,19000000
Les Intouchables,Comedy,Weinstein Co.,8.5,484873045,10800000
Alien,Horror,20th Century Fox,8.5,203630630,9000000
Memento,Drama,Newmarket Films,8.5,39723096,5000000
Whiplash,Drama,Sony Pictures Classics,8.5,37825230,3300000
Parasite,Drama,Neon,8.5,258773645,11400000
Dune: Part Two,Adventure,Warner Bros,8.5,714844358,190000000
Braveheart,Drama,Paramount,8.4,209045244,72000000
Lion of the Desert,Drama,United Film Distrib…,8.4,1500000,35000000
Once Upon a Time in America,Drama,Warner Bros,8.4,5575648,30000000
The Shining,Horror,Warner Bros,8.4,44728227,19000000
Aliens,Action,20th Century Fox,8.4,183316455,17000000
