movie_id,title,genre,release_date,rating,studio,runtime_minutes,budget,domestic_gross,international_gross,total_gross,imdb_rating,tickets_sold,tickets_available
1,Evan Almighty,Comedy,2007-06-22,PG,Universal Pictures,96,175000000,100289690,73841639,174131329,5.4,10556809,0
2,Waterworld,Action,1995-07-28,PG-13,Universal Pictures,176,175000000,88246220,176000000,264246220,6.1,9289076,0
3,King Arthur: Legend of the Sword,Adventure,2017-05-12,PG-13,Warner Bros,97,175000000,39175066,100775642,139950708,,4123691,0
4,47 Ronin,Action,2013-12-25,PG-13,Universal Pictures,128,175000000,38362475,113354340,151716815,6.3,4038155,0
5,Jurassic World: Fallen Kingdom,Action,2018-06-22,PG-13,Universal Pictures,109,170000000,416769345,888096977,1304866322,6.2,43870457,0
6,Guardians of the Galaxy,Action,2014-08-01,PG-13,Walt Disney,121,170000000,333172112,437879223,771051335,8.1,35070749,0
7,Iron Man 2,Action,2010-05-07,PG-13,Paramount,124,170000000,312433331,308723058,621156389,7.0,32887719,0
8,Captain America: The Winter Soldier,Action,2014-04-04,PG-13,Walt Disney,136,170000000,259746958,454654931,714401889,7.8,27341785,0
9,Dawn of the Planet of the Apes,Adventure,2014-07-11,PG-13,20th Century Fox,130,170000000,208545589,502098977,710644566,7.6,21952167,0
10,The Polar Express,Adventure,2004-11-10,G,Warner Bros,100,170000000,186493587,124140582,310634169,6.6,19630904,0
11,Snow White and the Huntsman,Adventure,2012-06-01,PG-13,Universal Pictures,132,170000000,155136755,245884991,401021746,6.1,16330185,0
12,Terminator 3: Rise of the Machines,Action,2003-07-01,R,Warner Bros,109,170000000,150358296,282700000,433058296,6.4,15827189,0
13,Van Helsing,Action,2004-05-07,PG-13,Universal Pictures,109,170000000,120150546,180000000,300150546,,12647426,0
14,Tomorrowland,Adventure,2015-05-22,PG,Walt Disney,130,170000000,93436322,113847135,207283457,6.5,9835402,0
15,Alice Through the Looking Glass,Adventure,2016-05-27,PG,Walt Disney,113,170000000,77042381,199891706,276934087,6.4,8109724,0
16,Shrek Forever After,Adventure,2010-05-21,PG,Paramount,93,165000000,238736787,517507886,756244673,6.4,25130188,0
17,Doctor Strange,Action,2016-11-04,PG-13,Walt Disney,109,165000000,232641920,443844537,676486457,7.5,24488623,0
18,Big Hero 6,Adventure,2014-11-07,PG,Walt Disney,102,165000000,222527828,429600000,652127828,7.9,23423982,0
19,How to Train Your Dragon,Adventure,2010-03-26,PG,Paramount,98,165000000,217581232,277289760,494870992,8.2,22903288,0
20,Wreck-It Ralph,Adventure,2012-11-02,PG,Walt Disney,101,165000000,189412677,307098844,496511521,7.8,19938177,0
21,Interstellar,Adventure,2014-11-05,PG-13,Paramount,169,165000000,188017894,479734528,667752422,8.6,19791357,0
22,Independence Day: Resurgence,Action,2016-06-24,PG-13,20th Century Fox,120,165000000,103144286,281269648,384413934,5.5,10857293,0
23,Cowboys and Aliens,Action,2011-07-29,PG-13,Universal Pictures,109,163000000,100368560,75669764,176038324,,10565112,0
24,Shrek the Third,Adventure,2007-05-17,PG,Paramount,93,160000000,322719944,484610992,807330936,6.1,33970520,0
25,Fast and Furious 6,Action,2013-05-24,PG-13,Universal Pictures,109,160000000,238679850,550620594,789300444,7.1,25124195,0
26,X-Men: First Class,Action,2011-06-03,PG-13,20th Century Fox,132,160000000,146408305,209000000,355408305,7.8,15411401,0
27,The Curious Case of Benjamin Button,Drama,2008-12-25,PG-13,Paramount,166,160000000,127509326,202122632,329631958,7.8,13422034,0
28,The Sorcerer's Apprentice,Adventure,2010-07-14,PG,Walt Disney,109,160000000,63150991,154835329,217986320,6.1,6647473,0
29,Poseidon,Adventure,2006-05-12,PG-13,Warner Bros,98,160000000,60674817,121000000,181674817,5.6,6386823,0
30,Warcraft,Action,2016-06-10,PG-13,Universal Pictures,123,160000000,47225655,378321456,425547111,7.3,4971122,0
31,Aquaman,Action,2018-12-21,PG-13,Warner Bros,109,160000000,0,0,0,6.9,0,0
32,Deepwater Horizon,Drama,2016-09-30,PG-13,Lionsgate,114,156000000,61433527,61197779,122631306,,6466687,0
33,Terminator: Genisys,Action,2015-07-01,PG-13,Paramount,126,155000000,89760956,342389938,432150894,6.6,9448522,0
34,Pacific Rim: Uprising,Action,2018-03-23,PG-13,Universal Pictures,109,155000000,59185715,231055623,290241338,,6230075,0
35,Alexander,Action,2004-11-24,R,Warner Bros,206,155000000,34297191,133000000,167297191,5.5,3610231,0
36,War for the Planet of the Apes,Action,2017-07-14,PG-13,20th Century Fox,109,152000000,146880162,342712105,489592267,7.4,15461070,0
37,Pearl Harbor,Action,2001-05-25,PG-13,Walt Disney,184,151500000,198539855,250700000,449239855,6.1,20898932,0
38,Transformers,Action,2007-07-02,PG-13,Paramount,144,151000000,319246193,389026399,708272592,7.1,33604862,0
39,Wonder Woman,Action,2017-06-02,PG-13,Warner Bros,109,150000000,412563408,408569970,821133378,7.4,43427727,0
40,Zootopia,Adventure,2016-03-04,PG,Walt Disney,97,150000000,341268248,678438346,1019706594,8.0,35922973,0
